S0,K,mu,sigma,monitoring_dates,nodes,number_of_sample_paths,loss_probability_Delta,loss_probability_SS,95%_VaR_Delta,95%_VaR_SS,95%_CVaR_Delta,95%_CVaR_SS
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.4057,0.4065,-0.19168626119651194,-1218.4793808608633,-0.2905716525852994,-1658.7622054665276
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.4057,0.3976,-0.19168626119651194,-126.56330434030588,-0.2905716525852994,-207.69530214941568
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.4456,-0.19168626119651194,-9.194826462796195,-0.2905716525852994,-12.141920250444118
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.4515,-0.19168626119651194,-13.776126613725912,-0.2905716525852994,-18.118248106963872
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.3526,-0.19168626119651194,-35.10772519093064,-0.2905716525852994,-68.15516858528667
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.4338,-0.19168626119651194,-14.710891085386205,-0.2905716525852994,-19.34533307585671
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.4284,-0.19168626119651194,-5.4299384307044045,-0.2905716525852994,-7.733883652420546
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4057,0.435,-0.19168626119651194,-5.638456861398148,-0.2905716525852994,-7.985226034246733
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4057,0.0,-0.19168626119651194,307.0538722234035,-0.2905716525852994,303.8587168615429
40,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4057,0.0001,-0.19168626119651194,284.86839004392306,-0.2905716525852994,258.48674831675913
