run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-20 15:24:47.899668,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05825603011582776
2023-11-20 15:25:34.866018,1.0,1.0,0.06,0.2,100,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0567902113354817
2023-11-21 21:52:05.449304,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05563796513505438
2023-11-21 21:54:48.327230,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05554999362364845
2023-11-29 17:23:56.068628,40,40,0.06,0.2,40000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,16,<keras.src.optimizers.legacy.adam.Adam object at 0x102928160>,0.003,0.01,0.002,2000,2000,2.2965699696084605
