run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-19 23:26:03.591159,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05586959322063576
2023-11-19 23:26:27.379715,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05862799426213957
2023-11-19 23:26:52.735365,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0558365279723368
2023-11-19 23:27:16.095876,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055771984131308336
2023-11-19 23:27:54.411729,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05642084769516838
2023-11-19 23:28:37.068658,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05567526733425593
2023-11-19 23:29:12.571029,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055943056487631454
2023-11-19 23:29:45.359464,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05607731833666832
2023-11-19 23:30:19.475957,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05638132894109785
2023-11-19 23:30:59.694574,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056327621063298215
2023-11-19 23:31:37.597276,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05617719380256438
2023-11-19 23:32:11.645678,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05566480064175354
2023-11-19 23:32:42.281388,1.0,1.0,0.06,0.2,20000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05641513417154649
2023-11-19 23:33:22.321840,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056530742679153256
2023-11-19 23:34:08.180432,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05564711180320656
2023-11-19 23:34:48.393612,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05700140736687418
2023-11-19 23:35:28.495694,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05567764892525062
2023-11-19 23:51:54.789876,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055538544690689674
2023-11-19 23:52:35.783020,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05589795470546698
2023-11-20 00:10:04.570304,1.0,1.0,0.06,0.2,30000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0580490569603169
